查票时间,演出ID,票档名称,票价,状态,API响应,备注
2026-06-06 13:23:08,295821,-,-,无数据,无响应,未获取到票档信息
2026-06-06 13:24:23,295821,880元票,880,售罄,无响应,
2026-06-06 13:24:23,295821,780元票,780,售罄,无响应,
2026-06-06 13:24:23,295821,580元票,580,售罄,无响应,
2026-06-06 13:24:23,295821,480元票,480,售罄,无响应,
2026-06-06 13:24:23,295821,380元票,380,售罄,无响应,
2026-06-06 13:24:23,295821,280元票,280,售罄,无响应,
2026-06-06 13:24:33,295821,880元票,880,售罄,无响应,
2026-06-06 13:24:33,295821,780元票,780,售罄,无响应,
2026-06-06 13:24:33,295821,580元票,580,售罄,无响应,
2026-06-06 13:24:33,295821,480元票,480,售罄,无响应,
2026-06-06 13:24:33,295821,380元票,380,售罄,无响应,
2026-06-06 13:24:33,295821,280元票,280,售罄,无响应,
2026-06-06 13:24:38,295821,880元票,880,售罄,无响应,
2026-06-06 13:24:38,295821,780元票,780,售罄,无响应,
2026-06-06 13:24:38,295821,580元票,580,售罄,无响应,
2026-06-06 13:24:38,295821,480元票,480,售罄,无响应,
2026-06-06 13:24:38,295821,380元票,380,售罄,无响应,
2026-06-06 13:24:38,295821,280元票,280,售罄,无响应,
2026-06-06 13:24:42,295821,880元票,880,售罄,无响应,
2026-06-06 13:24:42,295821,780元票,780,售罄,无响应,
2026-06-06 13:24:42,295821,580元票,580,售罄,无响应,
2026-06-06 13:24:42,295821,480元票,480,售罄,无响应,
2026-06-06 13:24:42,295821,380元票,380,售罄,无响应,
2026-06-06 13:24:42,295821,280元票,280,售罄,无响应,
2026-06-06 13:24:47,295821,880元票,880,售罄,无响应,
2026-06-06 13:24:47,295821,780元票,780,售罄,无响应,
2026-06-06 13:24:47,295821,580元票,580,售罄,无响应,
2026-06-06 13:24:47,295821,480元票,480,售罄,无响应,
2026-06-06 13:24:47,295821,380元票,380,售罄,无响应,
2026-06-06 13:24:47,295821,280元票,280,售罄,无响应,
2026-06-06 13:24:51,295821,880元票,880,售罄,无响应,
2026-06-06 13:24:51,295821,780元票,780,售罄,无响应,
2026-06-06 13:24:51,295821,580元票,580,售罄,无响应,
2026-06-06 13:24:51,295821,480元票,480,售罄,无响应,
2026-06-06 13:24:51,295821,380元票,380,售罄,无响应,
2026-06-06 13:24:51,295821,280元票,280,售罄,无响应,
2026-06-06 13:24:55,295821,880元票,880,售罄,无响应,
2026-06-06 13:24:55,295821,780元票,780,售罄,无响应,
2026-06-06 13:24:55,295821,580元票,580,售罄,无响应,
2026-06-06 13:24:55,295821,480元票,480,售罄,无响应,
2026-06-06 13:24:55,295821,380元票,380,售罄,无响应,
2026-06-06 13:24:55,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:00,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:00,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:00,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:00,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:00,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:00,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:04,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:04,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:04,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:04,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:04,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:04,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:08,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:08,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:08,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:08,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:08,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:08,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:13,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:13,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:13,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:13,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:13,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:13,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:17,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:17,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:17,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:17,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:17,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:17,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:22,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:22,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:22,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:22,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:22,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:22,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:26,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:26,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:26,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:26,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:26,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:26,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:30,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:30,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:30,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:30,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:30,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:30,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:35,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:35,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:35,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:35,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:35,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:35,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:39,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:39,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:39,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:39,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:39,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:39,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:43,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:43,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:43,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:43,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:43,295821,380元票,380,售罄,无响应,
